X,Y,OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID
-8873465.6821,5400660.9298,1,CC-OTH-233,123 TLC Daycare,Social Services,Child Care (Other),Child Care Centre,322 Queen St S,,Mississauga,ON,L5N 3E4,905-609-0881,https://peelchildcare.cioc.ca/record/CDR0554,Community-Based For-Profit Centre,No,11,93448
-8867820.1402,5407121.7503,2,CC-OTH-123,ABC Montessori II,Social Services,Child Care (Other),Child Care Centre,285 Matheson Blvd E,,Mississauga,ON,L4Z 1X8,905-568-1716,https://peelchildcare.cioc.ca/record/CDR0546,Community-Based For-Profit Centre,No,5,42542
-8864056.2289,5405822.9356,3,CC-OTH-115,ABC Montessori Learning Centre,Social Services,Child Care (Other),Child Care Centre,4300 Cawthra Rd,,Mississauga,ON,L4Z 1V8,905-281-2595,https://peelchildcare.cioc.ca/record/CDR0415,Community-Based For-Profit Centre,No,4,3301
-8886153.3218,5416148.0959,4,CC-OTH-154,Absolute Angels,Social Services,Child Care (Other),Child Care Centre,222 Salvation Rd,,Brampton,ON,L7A 0W9,905-970-0415,https://peelchildcare.cioc.ca/record/CDR0430,Community-Based For-Profit Centre,No,6,
-8887284.6461,5417504.5609,5,CC-OTH-280,Absolute Angels II Daycare,Social Services,Child Care (Other),Child Care Centre,10635 Creditview Rd,,Brampton,ON,L7A 0T4,905-970-9581,https://peelchildcare.cioc.ca/record/CDR1321,Community-Based For-Profit Centre,No,6,
-8873366.8676,5425138.2943,6,CC-PLP-207,Active Learning Centre (St. Thomas Aquinas) (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Corporation Dr,,Brampton,ON,L6S 6A2,905-799-0685,https://peelchildcare.cioc.ca/record/CDR0397,School-Based Centre,No,8,
-8876031.4688,5397517.1531,7,CC-OTH-234,Advanced Care and Education Daycare,Social Services,Child Care (Other),Child Care Centre,5575 Bonnie St,,Mississauga,ON,L5M 0N8,905-270-4555,https://peelchildcare.cioc.ca/record/CDR0980,Community-Based Non-Profit Centre,No,10,294982
-8878634.3944,5418816.625,8,CC-PLP-125,Agnes Taylor (PLASP),Social Services,Child Care (PLASP),Child Care Centre,80 Beech St,,Brampton,ON,L6V 1V6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0748,School-Based Centre,Yes,1,172865
-8867885.1561,5430396.6858,9,CC-OTH-207,Akal Child Care,Social Services,Child Care (Other),Child Care Centre,4535 Ebenezer Rd ,2,Brampton,ON,L6P 2P7,905-913-7333,https://peelchildcare.cioc.ca/record/CDR1632,Community-Based For-Profit Centre,No,8,283023
-8873337.4124,5393271.0361,10,CC-PLP-009b,All Saints (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4105 Colonial Dr,,Mississauga,ON,L5L 4E8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0647,School-Based Centre,Yes,8,240440
